instance_id,box_id,type_id,length_cm,width_cm,height_cm,vert_axis_allowed,volume_cm3,weight_kg,destination,priority,shipper,stackable,content_boxes,pallet_fill_pct
1,1,1,110,110,99,3,1197900,319.41,A,1,S1,1,4,81.9
1,2,1,110,110,99,3,1197900,317.77,A,1,S1,1,6,81.5
1,3,1,110,110,92,3,1113200,286.74,A,1,S2,1,5,78.4
1,4,1,110,110,92,3,1113200,293.62,A,1,S1,1,3,80.4
1,5,1,110,110,92,3,1113200,293.62,A,1,S2,1,3,80.4
1,6,1,110,110,92,3,1113200,293.62,A,1,S2,1,3,80.4
1,7,1,110,110,92,3,1113200,301.05,A,1,S2,1,4,82.7
1,8,1,110,110,90,3,1089000,305.34,A,1,S1,1,9,85.8
1,9,1,110,110,93,3,1125300,258.24,A,1,S3,1,4,69.1
1,10,1,110,110,99,3,1197900,319.41,B,2,S4,1,4,81.9
1,11,1,110,110,99,3,1197900,319.41,B,2,S5,1,4,81.9
1,12,1,110,110,86,3,1040600,196.45,B,2,S5,1,3,54.9
1,13,1,110,110,99,3,1197900,313.38,B,2,S4,1,6,80.2
1,14,1,110,110,99,3,1197900,305.0,B,2,S5,1,5,77.9
1,15,1,110,110,92,3,1113200,293.62,B,2,S5,1,3,80.4
1,16,1,110,110,99,3,1197900,319.41,C,3,S6,1,4,81.9
1,17,1,110,110,99,3,1197900,310.7,C,3,S6,1,6,79.5
1,18,1,110,110,76,3,919600,219.75,C,3,S6,1,2,70.6
1,19,1,110,110,92,3,1113200,268.07,C,3,S6,1,4,72.8
1,20,1,110,110,92,3,1113200,252.6,C,3,S6,1,4,68.2
